feature,col,rank,MI,ANOVA_F,point_biserial,L1_coef,LGB_gain,perm,SHAP,consensus,rank_std,rk_MI,rk_ANOVA_F,rk_point_biserial,rk_L1_coef,rk_LGB_gain,rk_perm,rk_SHAP
Đóng phí BH xe máy điện (moped),54,60,0.00164,11.50102,0.04441,0.0,22.56769,0.00179,0.0509,63.71429,27.26239,54,61,61,27,45,108,90
Đóng phí BH an sinh xã hội,64,61,0.0016,23.03582,0.06279,0.0,47.57008,0.00144,0.00505,62.57143,26.08229,52,77,77,27,55,106,44
Số loại BH giải trí,dom_recreation_ntypes,62,0.00216,32.55268,0.07458,0.18592,0.0,0.0,0.0,62.5,37.11244,62,86,86,113,14,61,14
Số HĐ BH thuyền,82,63,0.00274,65.75796,0.1057,0.0,13.1374,-0.00011,0.00186,62.0,33.85262,69,108,108,27,41,42,39
Sở hữu nhà,31,64,0.00403,36.02094,0.07843,0.0,127.10935,-0.00231,0.02027,62.0,31.52777,86,89,89,27,72,11,60
Số loại BH nhà/tài sản,dom_property_ntypes,65,0.00287,32.96616,0.07505,0.1033,0.0,0.0,0.0,61.92857,34.14604,74,87,87,95,14,61,14
Số nhà,2,66,0.00055,0.56004,0.00981,0.10999,56.32869,0.00191,0.03801,61.85714,36.61251,37,22,22,99,58,110,85
LĐ có tay nghề,23,67,0.00269,10.52933,0.0425,0.0,355.17352,-0.00348,0.07476,61.42857,35.88805,67,59,59,27,109,9,100
Tỉ trọng phí BH nhân thọ-SK,ratio_lifehealth_share,68,0.01063,1.42871,0.01567,0.0,149.18336,0.0013,0.01409,61.14286,34.68635,107,30,30,27,76,103,55
BHYT tư nhân,36,69,0.00213,19.31847,0.05752,0.10015,66.95221,-0.00179,0.0155,60.85714,22.46055,61,69,69,93,60,18,56
Sống chung,11,70,0.00096,6.48513,0.03336,0.01196,93.78549,0.00051,0.02813,60.42857,16.43023,41,49,49,59,66,90,69
Quan hệ khác,12,71,0.00284,22.66643,0.06229,0.0,174.19915,-0.00179,0.03036,60.42857,26.60111,73,76,76,27,82,17,72
Công giáo La Mã,6,72,0.00092,0.22557,0.00623,0.06299,178.61962,0.00066,0.0524,59.14286,37.41403,40,11,11,85,83,92,92
Có BH cháy nổ,flag_chay_no,73,0.00276,31.37733,0.07323,0.0,2.25424,0.0,0.00175,57.35714,23.71834,71,84,84,27,36,61,38
Có BH trách nhiệm cá nhân,flag_tn_ca_nhan,74,0.00398,47.88659,0.09034,0.0,0.0,0.0,0.0,56.64286,37.67372,85,97,97,27,14,61,14
Tần suất Nhóm KH chính (main type),freq_5,75,0.0076,0.15565,0.00517,0.03547,202.64613,-0.00301,0.12146,56.57143,46.79693,102,8,8,67,90,10,111
Thu nhập >123k,41,76,0.00047,0.02359,0.00201,0.15987,88.58601,0.00067,0.0378,55.71429,42.83579,32,4,4,109,64,93,84
Độc thân,13,77,0.00179,16.45787,0.0531,0.0,165.40912,-0.00136,0.03161,55.71429,23.06306,55,64,64,27,81,22,77
Cân bằng #loại số HĐ/đóng phí,ratio_ntypes_balance,78,0.01228,1.2437,0.01462,0.59083,0.0,0.0,0.0,55.21429,46.36527,115,29,29,123,14,61,14
Tổng phí BH nông nghiệp,dom_agriculture_contrib,79,0.0015,2.44682,0.0205,0.0,54.53978,0.00124,0.03766,55.0,27.22132,48,35,35,27,57,100,83
Đóng phí BH tai nạn gia đình,57,80,0.00067,9.42416,0.04021,0.03191,25.63739,4e-05,0.00469,54.85714,14.39246,38,55,55,66,47,80,43
Đóng phí BH khuyết tật,58,81,0.00046,5.42929,0.03053,0.14782,34.41781,0.0,0.0021,54.14286,25.51913,30,45,45,108,49,61,40
Số HĐ BH an sinh xã hội,85,82,0.00156,25.97524,0.06666,0.04478,0.0,0.0,0.0,53.92857,29.13107,50,81,81,75,14,61,14
Học vấn TB,17,83,0.00153,11.04245,0.04352,0.0,284.42488,-0.00436,0.02654,53.71429,31.37788,49,60,60,27,106,7,67
Tuổi TB,4,84,0.00039,0.11737,0.00449,0.10944,105.30966,0.00125,0.02143,52.42857,40.07434,24,7,7,97,68,101,63
Hộ có con,15,85,0.0011,6.09567,0.03235,0.0,197.76512,-0.00395,0.05409,50.71429,30.86916,46,46,46,27,88,8,94
Tổng phí BH nhân thọ-sức khoẻ,dom_life_health_contrib,86,0.00217,17.22383,0.05432,0.0,53.58734,-0.0012,0.0103,50.14286,17.90185,63,66,66,27,56,24,49
Tầng lớp B2,27,87,0.00044,0.09501,0.00404,0.0,223.71149,0.00205,0.03051,49.85714,43.71662,28,6,6,27,97,112,73
Doanh nhân,20,88,0.00037,2.81171,0.02197,0.05261,109.37803,-0.00066,0.02139,49.57143,21.46204,23,39,39,81,70,33,62
Hộ không con,14,89,0.00055,0.37078,0.00798,0.04061,188.75642,-0.00013,0.03348,48.71429,30.18672,36,14,14,70,87,41,79
Số loại BH nông nghiệp,dom_agriculture_ntypes,90,0.00043,3.12945,0.02318,0.38721,0.0,3e-05,0.0,48.42857,39.19867,27,41,41,122,14,79,14
